CHANNEL,CHANNEL_ROLE,OUTCOME,SAMPLE_DESIGN,N_MONTHS,N_ETFS_MIN,N_ETFS_MAX,DATE_START,DATE_END,INFERENCE_CLASS,TEST,FOCAL,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,NONSTATE_MEAN,STATE_MEAN,N_STATE_MONTHS,HOLM_P_PRIMARY_FAMILY,BH_Q_PRIMARY_FAMILY
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,UNCONDITIONAL_MEAN,CONST,0.0001293207615025653,0.007089280954202979,0.018241731755023152,0.9854460110409493,-0.013765414585021021,0.01402405610802615,,,,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,-0.01446803954863559,0.0069835373552755466,-2.071735112536637,0.03829015090182443,-0.028155521249665763,-0.0007805578476054193,,,,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,CPU_AND_VIX_STRESS_INCREMENT,CPU_AND_VIX_STRESS,-0.004536782138007958,0.01450600567141483,-0.312751989815365,0.7544690933140127,-0.03296803081351479,0.023894466537498875,0.0010158184206535445,-0.0035209637173544135,17.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,EXTREME_CPU_REGIME_INCREMENT,EXTREME_CPU_REGIME,0.0026388705102372663,0.016856977229990168,0.15654470396640652,0.8756036849000065,-0.030400197748755225,0.035677938769229756,-0.00044698429245729665,0.0021918862177799695,19.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,HIGH_CPU_REGIME_INCREMENT,HIGH_CPU_REGIME,-0.008647744551716902,0.011377590424473777,-0.7600681892288161,0.4472138261736467,-0.030947412014533292,0.013651922911099486,0.004602292081356133,-0.004045452470360769,45.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,AVAILABLE_CROSS_SECTION,87,5,14,2018-10-31,2025-12-31,EXPLORATORY_SMALL_CROSS_SECTION,HIGH_VIX_REGIME_INCREMENT,HIGH_VIX_REGIME,0.018355033713054646,0.012410739838447407,1.478963700148828,0.13915001677859237,-0.005969569391798719,0.04267963681790801,-0.005989023809515653,0.012366009903538994,29.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,14,14,2023-08-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,UNCONDITIONAL_MEAN,CONST,-0.014371948269840474,0.01149613398319289,-1.2501549034529316,0.2112429668639293,-0.036903956838345534,0.008160060298664588,,,,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,14,14,2023-08-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CONTINUOUS_CPU_VIX_ACTIVATION,CPU_Z_X_VIX_Z,-0.012351983463415319,0.0181539381865314,-0.6804024193813433,0.49624968952996984,-0.047933048486583245,0.02322908155975261,,,,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,14,14,2023-08-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,CPU_AND_VIX_STRESS_INCREMENT,CPU_AND_VIX_STRESS,0.0036349889485135624,0.014959656453492457,0.24298612470241213,0.8080161462708662,-0.02568539892142385,0.032955376818450975,-0.014747981609341888,-0.011112992660828325,3.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,14,14,2023-08-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,EXTREME_CPU_REGIME_INCREMENT,EXTREME_CPU_REGIME,0.04267329854634733,0.019709079329831826,2.1651594086262906,0.03037547967683026,0.004044212891434126,0.08130238420126053,-0.032029864909708335,0.010643433636638992,12.0,,
EXTENDED_ARCHITECTURE_RISK_FINAL,COMPOSITE_ROBUSTNESS,ETF_RETURN,BALANCED_COMMON_WINDOW,29,14,14,2023-08-31,2025-12-31,MAIN_INFERENCE_ELIGIBLE,HIGH_CPU_REGIME_INCREMENT,HIGH_CPU_REGIME,0.009999057589551628,0.017723508479886754,0.5641691993940648,0.5726389873045632,-0.02473838071071665,0.044736495889819906,-0.020923054966443266,-0.010923997376891637,19.0,,
