CHANNEL,CHANNEL_ROLE,SHOCK,SHOCK_ROLE,HORIZON_MONTHS,OUTCOME,MODEL_VARIANT,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,ERROR_MESSAGE,ARCHITECTURE_COLUMN,VALID_ROW_FLAG,FOCAL_REGRESSOR,INFERENCE_CLASS,COVARIANCE_STATUS,NONFINITE_COV_ELEMENTS,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,TARGET_VARIANCE,MIN_COV_EIGENVALUE,PSD_WARNING,FINITE_COEFFICIENT,COVARIANCE_METHOD,DK_BANDWIDTH,DF_INFERENCE,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DESIGN_RANK,N_REGRESSORS,ABSORBED_EFFECT_DF,CONDITION_NUMBER,WITHIN_R_SQUARED,REGRESSORS,HOLM_P_SHOCK_FAMILY,BH_Q_SHOCK_FAMILY,HOLM_P_WITHIN_CHANNEL,BH_Q_WITHIN_CHANNEL,BONFERRONI_CI_LOWER,BONFERRONI_CI_UPPER
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,0,LP_CUM_RETURN_H0,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-9.613480630344334e-05,0.0017690354514320087,-0.05434306374449624,0.956718639679357,-0.0035854899928037596,0.0033932203801968733,1777,23,192,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,3.1294864284232507e-06,1.9385320677645267e-07,False,True,DATE_CLUSTERED,0,191,1,3.3152493096445647e-16,10,10,22,48.57442769879292,0.8180161716887575,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.9691435570777902,1.0,0.9965597918945354,-0.0052771776594786705,0.005084908046871783
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,1,LP_CUM_RETURN_H1,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.001578727704569096,0.003145479635613956,-0.5019036482367654,0.6163164139984489,-0.007783274931728861,0.004625819522590669,1754,23,191,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,9.894042138062105e-06,2.9251328693270134e-06,False,True,DK_H1,1,190,1,3.8659551750340273e-16,10,10,22,48.48093312432419,0.40569406839997724,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.7069511807629267,1.0,0.9965597918945354,-0.010791016114455865,0.007633560705317673
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,2,LP_CUM_RETURN_H2,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.0006573319168893842,0.003927514519744108,-0.1673658782379783,0.8672611109194159,-0.008404727731629109,0.00709006389785034,1731,23,190,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,1.5425370302800788e-05,3.547031461374646e-06,False,True,DK_H2,2,189,1,3.016455010302312e-16,10,10,22,48.73374151637711,0.26030622747824783,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.9019515553561925,1.0,0.9965597918945354,-0.012159996273779592,0.010845332440000823
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,3,LP_CUM_RETURN_H3,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.00043878020997620553,0.00479979112966854,-0.0914165217032072,0.9272589659548919,-0.009907149102696031,0.009029588682743618,1708,23,189,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.30379948884448e-05,3.3270969341725452e-06,False,True,DK_H3,3,188,1,3.75767792950053e-16,10,10,22,48.78464572729543,0.24634744914884388,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.9516605176905469,1.0,0.9965597918945354,-0.01449611496207109,0.013618554542118678
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,4,LP_CUM_RETURN_H4,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.0014748671564099572,0.004992989404185394,-0.2953875998962953,0.7680255243815288,-0.011324692303528347,0.008374957990708433,1685,23,188,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.4929943190307616e-05,3.0321629298050697e-06,False,True,DK_H4,4,187,1,2.8933084884170745e-16,10,10,22,48.80104656119363,0.22682849008026706,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.8156391011187277,1.0,0.9965597918945354,-0.016098029200784972,0.013148294887965059
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,5,LP_CUM_RETURN_H5,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.0070272938418142455,0.005307695278155352,-1.3239821567632508,0.18713375117417383,-0.01749831569161219,0.0034437280079837006,1662,23,187,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.8171629165752627e-05,4.016771102176474e-06,False,True,DK_H5,5,186,1,2.983724378680108e-16,10,10,22,48.76859776186459,0.21038309946479405,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.4962342998573738,1.0,0.715389631552995,-0.022572147205526274,0.008517559521897783
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,6,LP_CUM_RETURN_H6,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.008245085222975814,0.0055536631623527835,-1.4846210477559503,0.13934611293576232,-0.019201740367360186,0.0027115699214085576,1639,23,186,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,3.0843174520874324e-05,3.3723919174610234e-06,False,True,DK_H6,6,185,1,3.2218236793043757e-16,10,10,22,48.76140071406255,0.17190547465427175,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.4347598723595784,1.0,0.715389631552995,-0.024510314284925065,0.008020143838973436
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,7,LP_CUM_RETURN_H7,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.009107807169015214,0.00535672192822006,-1.7002575999015075,0.09077208204321219,-0.019676301035506674,0.0014606866974762479,1616,23,185,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,2.869446981627364e-05,4.650563554122276e-06,False,True,DK_H7,7,184,1,3.00060276925718e-16,10,10,22,48.77426403296155,0.18437665292878724,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.37065001448209095,1.0,0.715389631552995,-0.02479624678744433,0.006580632449413901
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,8,LP_CUM_RETURN_H8,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.006835350155023556,0.005555307588990806,-1.2304179463562857,0.22011988663169077,-0.017796038220349347,0.0041253379103022335,1593,23,184,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,3.0861442408298846e-05,5.763225818879668e-06,False,True,DK_H8,8,183,1,3.885780586188048e-16,10,10,22,49.567441176701074,0.2003761139349337,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.4962342998573738,1.0,0.715389631552995,-0.023105395313153133,0.009434695003106019
INTERNAL_FINANCIAL_CAPACITY,PRIMARY,CPU_VIX_CONTINUOUS,PRIMARY_CONTINUOUS_ACTIVATION,9,LP_CUM_RETURN_H9,PRIMARY_ALIGNED,RELIABLE_ESTIMATE,-0.002940628201893465,0.00646056011807744,-0.45516613856207705,0.6495322254499896,-0.015687856501543425,0.009806600097756494,1570,23,183,,INTERNAL_FINANCIAL_CAPACITY_MAIN,VALID_INTERNAL_FINANCIAL_CAPACITY_MAIN_ROW,CPU_VIX_X_ARCH,MAIN_INFERENCE_ELIGIBLE,VALID,0,0,0,4.173883703929279e-05,6.289871832544878e-06,False,True,DK_H9,9,182,1,3.1103867277196844e-16,10,10,22,48.26761884757776,0.19952497924918067,CPU_Z|VIX_LEVEL_Z|CPU_Z_X_VIX_Z|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,1.0,0.7342538200739013,1.0,0.9965597918945354,-0.021861921610783923,0.015980665206996994
