CHANNEL,TEST,HORIZON_MONTHS,CONTROL_LEVEL,ARCHITECTURE_COLUMN,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,0,BASELINE,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-9.613480630344334e-05,0.0017690354514320087,-0.05434306374449624,0.956718639679357,-0.0035854899928037596,0.0033932203801968733,1777,23,192,DATE_CLUSTER,False,VALID,3.1294864284232507e-06,0,0,0,1.9385320677645267e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.57442769879292,1,1.1027257391465399e-16,191
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,0,COMMON_STYLE_CONTROLS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-9.134098295605524e-05,0.0017651897509275286,-0.05174570207427254,0.958785398204564,-0.003573110671387256,0.0033904287054751458,1777,23,192,DATE_CLUSTER,False,VALID,3.11589485677959e-06,0,0,0,1.7490292739039229e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN,12,12,76.91245911214396,1,1.1027257391465399e-16,191
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,0,ARCHITECTURE_FACTOR_BETAS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,0.0008061426711759972,0.0012397365504702104,0.6502532097406029,0.5163100434812956,-0.0016391905519516125,0.003251475894303607,1777,23,192,DATE_CLUSTER,False,VALID,1.5369467145717768e-06,0,0,0,1.7108091288484166e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN|MARKET_RETURN_X_ARCH_STYLE|GROWTH_FACTOR_X_ARCH_STYLE|ENERGY_RETURN_X_ARCH_STYLE|TREASURY_RETURN_X_ARCH_STYLE|USO_RETURN_X_ARCH_STYLE,17,17,134.3438048313496,1,1.1027257391465399e-16,191
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,6,BASELINE,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.008245085222975814,0.0055536631623527835,-1.4846210477559503,0.13934611293576232,-0.019201740367360186,0.0027115699214085576,1639,23,186,DK,False,VALID,3.0843174520874324e-05,0,0,0,3.3723919174610234e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.76140071406255,1,7.119245874808051e-17,185
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,6,COMMON_STYLE_CONTROLS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.00827090278458604,0.005655990992444788,-1.4623260177808315,0.1453485771784905,-0.019429437429619903,0.0028876318604478222,1639,23,186,DK,False,VALID,3.199023410661658e-05,0,0,0,3.2677104146709614e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN,12,12,76.52349317659306,1,7.119245874808051e-17,185
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,6,ARCHITECTURE_FACTOR_BETAS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.010835964277251168,0.004355495302186436,-2.487883357792068,0.013735015950229227,-0.019428790059797533,-0.0022431384947048036,1639,23,186,DK,False,VALID,1.897033932736811e-05,0,0,0,1.4097763995477958e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN|MARKET_RETURN_X_ARCH_STYLE|GROWTH_FACTOR_X_ARCH_STYLE|ENERGY_RETURN_X_ARCH_STYLE|TREASURY_RETURN_X_ARCH_STYLE|USO_RETURN_X_ARCH_STYLE,17,17,134.15736915636083,1,7.119245874808051e-17,185
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,9,BASELINE,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.002940628201893465,0.00646056011807744,-0.45516613856207705,0.6495322254499896,-0.015687856501543425,0.009806600097756494,1570,23,183,DK,False,VALID,4.173883703929279e-05,0,0,0,6.289871832544878e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.26761884757776,1,8.07917073652383e-17,182
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,9,COMMON_STYLE_CONTROLS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.0034822748905662324,0.006428664908290044,-0.5416793284832263,0.5887019374654697,-0.01616657125964139,0.009202021478508926,1570,23,183,DK,False,VALID,4.132773250307984e-05,0,0,0,4.669988945748579e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN,12,12,73.42122794159354,1,8.07917073652383e-17,182
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,9,ARCHITECTURE_FACTOR_BETAS,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.004983285035995771,0.006429669992554761,-0.775045226546023,0.4393187416890207,-0.017669564520830024,0.007702994448838483,1570,23,183,DK,False,VALID,4.134065621315915e-05,0,0,0,2.199916620571253e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE|GROWTH_FACTOR|USO_RETURN|MARKET_RETURN_X_ARCH_STYLE|GROWTH_FACTOR_X_ARCH_STYLE|ENERGY_RETURN_X_ARCH_STYLE|TREASURY_RETURN_X_ARCH_STYLE|USO_RETURN_X_ARCH_STYLE,17,17,129.0338667882504,1,8.07917073652383e-17,182
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,12,BASELINE,INTERNAL_FINANCIAL_CAPACITY_MAIN,RELIABLE_ESTIMATE,-0.0034817924835048907,0.00820529141525327,-0.42433501838001686,0.6718310535959571,-0.01967333861947696,0.012709753652467182,1501,23,180,DK,False,VALID,6.7326807209229e-05,0,0,0,6.832008393917596e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,50.01916460946822,1,9.060780847207307e-17,179
