CHANNEL,TEST,REPLICATION,PERMUTED_COEFFICIENT
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,1,0.001453737889425668
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,2,-0.0046268179879742155
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,3,-0.00415248405012922
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,4,-0.0018503092773138757
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,5,-0.00023128262719704105
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,6,-0.0034656768453140874
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,7,0.004195217208549389
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,8,-0.0021440598137938043
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,9,-0.002598177390393972
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,10,0.0030692290232596548
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,11,-0.0003904128829157179
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,12,0.0017178899319896033
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,13,0.0038001095864428638
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,14,-0.0005605528722717713
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,15,0.0005876592821483826
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,16,0.005118238488740059
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,17,0.0018964074104181959
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,18,0.00020792523962633196
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,19,-0.0005062114127995694
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,20,-0.0023930921940671875
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,21,-0.0049490491237064406
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,22,0.003273796533809009
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,23,-0.0008100418977761742
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,24,-0.0006443879876870408
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,25,-0.002215981474657169
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,26,0.006207382864632439
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,27,-0.0012800174832706503
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,28,0.00039034478923558985
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,29,-0.0003778958393135851
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,30,-0.002037604972747909
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,31,0.0056682108088377476
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,32,0.004407042632768544
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,33,-0.002832628632867091
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,34,-0.0016771744847363043
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,35,0.0009725947814049426
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,36,-0.00444492259049669
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,37,-0.000877646486692896
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,38,0.0006762322802834365
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,39,-0.0004084523921472505
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,40,0.0007499660768916241
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,41,0.0022319371564709445
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,42,0.0011773067033729252
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,43,0.0015610455939661508
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,44,-0.000503791983590737
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,45,-0.0003741715833907809
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,46,0.0008171484805549416
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,47,0.002674287014589478
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,48,-0.003708428476904874
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,49,-0.0018480781043017645
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,50,-0.0013554921501138064
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,51,-0.0017256040911992144
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,52,-0.004143625043210102
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,53,-0.002339932385930918
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,54,0.00023486220590222367
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,55,-0.0005903317507874508
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,56,0.0004636849861992907
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,57,-0.001005806432634773
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,58,2.6518097978754632e-05
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,59,-0.000547806128968779
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,60,0.003222536934900057
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,61,0.0035055405252579683
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,62,-0.0017499084680914678
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,63,0.00023163623273054977
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,64,-0.0005180111338273361
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,65,0.0054880904898654175
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,66,0.0006377253738481459
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,67,0.0032761769546363175
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,68,-0.0016071378355953945
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,69,0.0020705268634745397
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,70,-0.00022180340285797218
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,71,0.002542402970838459
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,72,0.0010318839207910907
