CHANNEL,QUARTER_1,QUARTER_2,N_ETFS,MEAN_ABS_PERCENTILE_CHANGE,MEDIAN_ABS_PERCENTILE_CHANGE,SAME_HIGH_LOW_HALF_SHARE,TOP_TERCILE_RETENTION_SHARE,BOTTOM_TERCILE_RETENTION_SHARE
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2024Q4,55,0.10348973607038119,0.08240469208211143,0.8545454545454545,0.7894736842105263,0.8333333333333334
INTERNAL_FINANCIAL_CAPACITY,2024Q4,2025Q4,60,0.11050307219662057,0.07258064516129033,0.85,0.7619047619047619,0.8947368421052632
INTERNAL_FINANCIAL_CAPACITY,2023Q4,2025Q4,54,0.1617551173106729,0.15180375180375177,0.7592592592592593,0.6842105263157895,0.7647058823529411
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2024Q4,56,0.04783163265306122,0.03273809523809523,0.9642857142857143,0.9473684210526315,0.9444444444444444
EXTERNAL_FINANCING_DEPENDENCE,2024Q4,2025Q4,63,0.04694335646716601,0.018759018759018753,0.9047619047619048,1.0,0.9047619047619048
EXTERNAL_FINANCING_DEPENDENCE,2023Q4,2025Q4,56,0.06173662646876933,0.03787878787878787,0.9464285714285714,0.9473684210526315,0.8333333333333334
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2024Q4,56,0.073625283446712,0.04662698412698407,0.9821428571428571,0.8947368421052632,0.7777777777777778
GROWTH_DURATION_EXPOSURE_FINAL,2024Q4,2025Q4,63,0.11955152431342905,0.0670995670995671,0.8095238095238095,0.8181818181818182,0.8571428571428571
GROWTH_DURATION_EXPOSURE_FINAL,2023Q4,2025Q4,56,0.13397688620902906,0.08495670995670994,0.8035714285714286,0.8947368421052632,0.7222222222222222
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2024Q4,56,0.06242913832199547,0.05158730158730154,0.9821428571428571,0.9473684210526315,0.8888888888888888
PORTFOLIO_CONCENTRATION_FINAL,2024Q4,2025Q4,63,0.06097253716301335,0.045454545454545414,0.9523809523809523,0.8181818181818182,0.9047619047619048
PORTFOLIO_CONCENTRATION_FINAL,2023Q4,2025Q4,56,0.09185606060606062,0.0917207792207792,0.9642857142857143,0.8421052631578947,0.7777777777777778
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2024Q4,56,0.09913548752834467,0.06944444444444442,0.9464285714285714,0.9,0.7777777777777778
FINANCIAL_ARCHITECTURE_RISK_FINAL,2024Q4,2025Q4,63,0.09670400146590624,0.058441558441558406,0.8412698412698413,0.9090909090909091,0.6666666666666666
FINANCIAL_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.09023268398268398,0.05654761904761907,0.9107142857142857,0.9,0.7222222222222222
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2024Q4,56,0.08489229024943311,0.06547619047619047,0.8928571428571429,0.9473684210526315,0.7777777777777778
EXTENDED_ARCHITECTURE_RISK_FINAL,2024Q4,2025Q4,63,0.08625941959275293,0.05555555555555558,0.8253968253968254,0.9090909090909091,0.7619047619047619
EXTENDED_ARCHITECTURE_RISK_FINAL,2023Q4,2025Q4,56,0.09013605442176871,0.07602813852813854,0.8392857142857143,0.9473684210526315,0.7777777777777778
