PAIR,CHANNEL_1,CHANNEL_2,SHOCK,HORIZON_MONTHS,MODEL_VARIANT,N_OBSERVATIONS,N_ETFS,N_DATES,INFERENCE_CLASS,FOCAL_CHANNEL,CONDITIONAL_ON,FOCAL_REGRESSOR,COVARIANCE_METHOD,DK_BANDWIDTH,CONDITION_NUMBER,PAIRWISE_ARCH_CORRELATION,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DATE_CLUSTERED,0,52.65163668266635,0.8363973321159234,RELIABLE_ESTIMATE,0.00014218183137645196,0.0016996410584016592,0.08365403428778051,0.9334191145900271,-0.003210295552568533,0.003494659215321437
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DATE_CLUSTERED,0,52.65163668266635,0.8363973321159234,RELIABLE_ESTIMATE,-0.0018794900116596376,0.0019140906217519204,-0.9819232121514635,0.32737982957478673,-0.005654961008035189,0.0018959809847159134
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,MONTH_FE_ROBUSTNESS,965,13,192,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DATE_CLUSTERED,0,6.099807258327963,0.8363973321159234,RELIABLE_ESTIMATE,-0.00031374731213591257,0.0019616771303870013,-0.1599383034424305,0.8730986891756956,-0.00418308088801989,0.003555586263748065
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,0,MONTH_FE_ROBUSTNESS,965,13,192,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DATE_CLUSTERED,0,6.099807258327963,0.8363973321159234,RELIABLE_ESTIMATE,-0.001408392593249834,0.002172983605719639,-0.6481376985738505,0.5176742852972669,-0.005694520159919122,0.0028777349734194534
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,PRIMARY_ALIGNED,952,13,191,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H1,1,52.53417502172502,0.8362182806172137,RELIABLE_ESTIMATE,-0.0011546166471331526,0.004053680258985112,-0.28483170190197116,0.7760833030380804,-0.009150615198803688,0.006841381904537382
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,PRIMARY_ALIGNED,952,13,191,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H1,1,52.53417502172502,0.8362182806172137,RELIABLE_ESTIMATE,-0.00503828336364316,0.0036387500198718967,-1.3846192610451802,0.1677927777132303,-0.012215820325098332,0.0021392535978120124
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,MONTH_FE_ROBUSTNESS,952,13,191,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H1,1,6.10998773621793,0.8362182806172137,RELIABLE_ESTIMATE,-0.001805536814280534,0.00340837703563078,-0.5297350602370748,0.5969140854784971,-0.00852865657194836,0.00491758294338729
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,1,MONTH_FE_ROBUSTNESS,952,13,191,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H1,1,6.10998773621793,0.8362182806172137,RELIABLE_ESTIMATE,-0.0036524087035415343,0.002982134992940255,-1.224763034600395,0.22218080083714525,-0.00953475401964849,0.002229936612565421
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,PRIMARY_ALIGNED,939,13,190,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H2,2,52.824803340866325,0.8360351830014386,RELIABLE_ESTIMATE,-0.004840125953475666,0.005409875701186831,-0.894683394003642,0.3720943083872438,-0.015511620140177675,0.005831368233226344
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,PRIMARY_ALIGNED,939,13,190,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H2,2,52.824803340866325,0.8360351830014386,RELIABLE_ESTIMATE,0.000737888789492491,0.004512442869532067,0.16352313166659746,0.8702812875194897,-0.00816333380966485,0.009639111388649833
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,MONTH_FE_ROBUSTNESS,939,13,190,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H2,2,6.102438269678102,0.8360351830014386,RELIABLE_ESTIMATE,-0.0015856924683595832,0.0049995709238035545,-0.31716571132332816,0.7514679527401199,-0.011447821470264257,0.00827643653354509
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,2,MONTH_FE_ROBUSTNESS,939,13,190,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H2,2,6.102438269678102,0.8360351830014386,RELIABLE_ESTIMATE,-0.0019715321126839327,0.003356927977456372,-0.5873024759315247,0.5577015335502045,-0.008593391721906374,0.004650327496538509
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H3,3,52.87782610402313,0.8358479120287355,RELIABLE_ESTIMATE,-0.007113935464233828,0.006359135842969919,-1.1186953133102742,0.2646975031924589,-0.019658365497445297,0.005430494568977641
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,TRIPLE_A2,DK_H3,3,52.87782610402313,0.8358479120287355,RELIABLE_ESTIMATE,0.004094551713088674,0.007075726324954394,0.5786758171593168,0.56350055283064,-0.009863469629649103,0.018052573055826453
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,3,MONTH_FE_ROBUSTNESS,926,13,189,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,TRIPLE_A1,DK_H3,3,6.106798638628076,0.8358479120287355,RELIABLE_ESTIMATE,-0.002982742397566533,0.005503363375680573,-0.541985363123087,0.5884703888377708,-0.013839022011389214,0.007873537216256147
